Region,Year,Mean BMI (female)
Central Asia,2000,25.502413346666668
Central Asia,2001,24.55965394
Central Asia,2001,25.60013462666667
Central Asia,2002,24.35545355
Central Asia,2002,25.5252744475
Central Asia,2003,24.4831121
Central Asia,2003,25.6296796875
Central Asia,2004,24.61547294
Central Asia,2004,25.7353081825
Central Asia,2005,24.75173107
Central Asia,2005,25.84193733
Central Asia,2006,24.89245807
Central Asia,2006,25.9502940875
Central Asia,2007,25.856038776
Central Asia,2008,25.976398162
Central Asia,2009,26.09953245
Central Asia,2010,26.224378694
Central Asia,2011,26.351623404
Central Asia,2012,26.480958724
Central Asia,2013,26.612503806
Central Asia,2014,26.744909016
Central Asia,2015,26.87774526
Central Asia,2016,27.011284322
Eastern Asia,2000,23.102483374
Eastern Asia,2001,22.66694376
Eastern Asia,2001,25.04041133
Eastern Asia,2002,22.6955232675
Eastern Asia,2002,25.13673315
Eastern Asia,2003,22.7258606525
Eastern Asia,2003,25.2384837
Eastern Asia,2004,22.758137105
Eastern Asia,2004,25.34562039
Eastern Asia,2005,22.791885055
Eastern Asia,2005,25.456801
Eastern Asia,2006,22.82646802
Eastern Asia,2006,25.5715595
Eastern Asia,2007,22.86202221
Eastern Asia,2007,25.68921845
Eastern Asia,2008,22.8979254875
Eastern Asia,2008,25.80980846
Eastern Asia,2009,22.93409503
Eastern Asia,2009,25.93207077
Eastern Asia,2010,22.9697575025
Eastern Asia,2010,26.05491006
Eastern Asia,2011,23.004437770000003
Eastern Asia,2011,26.17727221
Eastern Asia,2012,23.03847859
Eastern Asia,2012,26.29890466
Eastern Asia,2013,23.0718503075
Eastern Asia,2013,26.41935965
Eastern Asia,2014,23.1043804925
Eastern Asia,2014,26.53821185
Eastern Asia,2015,23.135956725
Eastern Asia,2015,26.6551891
Eastern Asia,2016,23.16625728
Eastern Asia,2016,26.76993285
Europe,2000,24.55974317428572
Europe,2000,25.630429408260877
Europe,2001,24.58859948
Europe,2001,25.677747781304348
Europe,2002,24.545300596666667
